medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Gold Medal,1,00:00.0,KIM Je Deok,Mixed Team,Republic of Korea,Archery
Gold Medal,1,00:00.0,AN San,Mixed Team,Republic of Korea,Archery
Silver Medal,2,00:00.0,SCHLOESSER Gabriela,Mixed Team,Netherlands,Archery
Silver Medal,2,00:00.0,WIJLER Steve,Mixed Team,Netherlands,Archery
Bronze Medal,3,00:00.0,ALVAREZ Luis,Mixed Team,Mexico,Archery
Bronze Medal,3,00:00.0,VALENCIA Alejandra,Mixed Team,Mexico,Archery
Gold Medal,1,00:00.0,CARAPAZ Richard,Men's Road Race,Ecuador,Cycling Road
Silver Medal,2,00:00.0,van AERT Wout,Men's Road Race,Belgium,Cycling Road
Bronze Medal,3,00:00.0,POGACAR Tadej,Men's Road Race,Slovenia,Cycling Road
Gold Medal,1,00:00.0,SZILAGYI Aron,Men's Sabre Individual,Hungary,Fencing
Silver Medal,2,00:00.0,SAMELE Luigi,Men's Sabre Individual,Italy,Fencing
Bronze Medal,3,00:00.0,KIM Junghwan,Men's Sabre Individual,Republic of Korea,Fencing
Gold Medal,1,00:00.0,SUN Yiwen,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver Medal,2,00:00.0,POPESCU Ana Maria,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze Medal,3,00:00.0,LEHIS Katrina,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold Medal,1,00:00.0,TAKATO Naohisa,Men -60 kg,Japan,Judo
Silver Medal,2,00:00.0,YANG Yung Wei,Men -60 kg,Chinese Taipei,Judo
Bronze Medal,3,00:00.0,MKHEIDZE Luka,Men -60 kg,France,Judo
Bronze Medal,3,00:00.0,SMETOV Yeldos,Men -60 kg,Kazakhstan,Judo
Gold Medal,1,00:00.0,KRASNIQI Distria,Women -48 kg,Kosovo,Judo
Silver Medal,2,00:00.0,TONAKI Funa,Women -48 kg,Japan,Judo
Bronze Medal,3,00:00.0,BILODID Daria,Women -48 kg,Ukraine,Judo
Bronze Medal,3,00:00.0,MUNKHBAT Urantsetseg,Women -48 kg,Mongolia,Judo
Gold Medal,1,00:00.0,FOROUGHI Javad,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver Medal,2,00:00.0,MIKEC Damir,10m Air Pistol Men,Serbia,Shooting
Bronze Medal,3,00:00.0,PANG Wei,10m Air Pistol Men,People's Republic of China,Shooting
Gold Medal,1,00:00.0,YANG Qian,10m Air Rifle Women,People's Republic of China,Shooting
Silver Medal,2,00:00.0,GALASHINA Anastasiia,10m Air Rifle Women,ROC,Shooting
Bronze Medal,3,00:00.0,CHRISTEN Nina,10m Air Rifle Women,Switzerland,Shooting
Gold Medal,1,00:00.0,DELL'AQUILA Vito,Men -58kg,Italy,Taekwondo
Silver Medal,2,00:00.0,JENDOUBI Mohamed Khalil,Men -58kg,Tunisia,Taekwondo
Bronze Medal,3,00:00.0,ARTAMONOV Mikhail,Men -58kg,ROC,Taekwondo
Bronze Medal,3,00:00.0,JANG Jun,Men -58kg,Republic of Korea,Taekwondo
Gold Medal,1,00:00.0,WONGPATTANAKIT Panipak,Women -49kg,Thailand,Taekwondo
Silver Medal,2,00:00.0,CEREZO IGLESIAS Adriana,Women -49kg,Spain,Taekwondo
Bronze Medal,3,00:00.0,BOGDANOVIC Tijana,Women -49kg,Serbia,Taekwondo
Bronze Medal,3,00:00.0,SEMBERG Abishag,Women -49kg,Israel,Taekwondo
Gold Medal,1,00:00.0,HOU Zhihui,Women's 49kg,People's Republic of China,Weightlifting
Silver Medal,2,00:00.0,MIRABAI Chanu Saikhom,Women's 49kg,India,Weightlifting
Bronze Medal,3,00:00.0,AISAH Windy Cantika,Women's 49kg,Indonesia,Weightlifting
Gold Medal,1,00:00.0,KANG Chaeyoung,Women's Team,Republic of Korea,Archery
Gold Medal,1,00:00.0,AN San,Women's Team,Republic of Korea,Archery
Gold Medal,1,00:00.0,JANG Minhee,Women's Team,Republic of Korea,Archery
Silver Medal,2,00:00.0,OSIPOVA Elena,Women's Team,ROC,Archery
Silver Medal,2,00:00.0,PEROVA Ksenia,Women's Team,ROC,Archery
Silver Medal,2,00:00.0,GOMBOEVA Svetlana,Women's Team,ROC,Archery
Bronze Medal,3,00:00.0,SCHWARZ Charline,Women's Team,Germany,Archery
Bronze Medal,3,00:00.0,UNRUH Lisa,Women's Team,Germany,Archery
Bronze Medal,3,00:00.0,KROPPEN Michelle,Women's Team,Germany,Archery
Gold Medal,1,00:00.0,KIESENHOFER Anna,Women's Road Race,Austria,Cycling Road
Silver Medal,2,00:00.0,van VLEUTEN Annemiek,Women's Road Race,Netherlands,Cycling Road
Bronze Medal,3,00:00.0,LONGO BORGHINI Elisa,Women's Road Race,Italy,Cycling Road
Gold Medal,1,00:00.0,WANG Han,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,00:00.0,SHI Tingmao,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,00:00.0,ABEL Jennifer,Women's Synchronised 3m Springboard,Canada,Diving
Silver Medal,2,00:00.0,CITRINI BEAULIEU Melissa,Women's Synchronised 3m Springboard,Canada,Diving
Bronze Medal,3,00:00.0,HENTSCHEL Lena,Women's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,00:00.0,PUNZEL Tina,Women's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,00:00.0,CANNONE Romain,Men's &Eacute;p&eacute;e Individual,France,Fencing
Silver Medal,2,00:00.0,SIKLOSI Gergely,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
Bronze Medal,3,00:00.0,REIZLIN Igor,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
Gold Medal,1,00:00.0,KIEFER Lee,Women's Foil Individual,United States of America,Fencing
Silver Medal,2,00:00.0,DERIGLAZOVA Inna,Women's Foil Individual,ROC,Fencing
Bronze Medal,3,00:00.0,KOROBEYNIKOVA Larisa,Women's Foil Individual,ROC,Fencing
Gold Medal,1,00:00.0,ABE Hifumi,Men -66 kg,Japan,Judo
Silver Medal,2,00:00.0,MARGVELASHVILI Vazha,Men -66 kg,Georgia,Judo
Bronze Medal,3,00:00.0,AN Baul,Men -66 kg,Republic of Korea,Judo
Bronze Medal,3,00:00.0,CARGNIN Daniel,Men -66 kg,Brazil,Judo
Gold Medal,1,00:00.0,ABE Uta,Women -52 kg,Japan,Judo
Silver Medal,2,00:00.0,BUCHARD Amandine,Women -52 kg,France,Judo
Bronze Medal,3,00:00.0,GILES Chelsie,Women -52 kg,Great Britain,Judo
Bronze Medal,3,00:00.0,GIUFFRIDA Odette,Women -52 kg,Italy,Judo
Gold Medal,1,00:00.0,BATSARASHKINA Vitalina,10m Air Pistol Women,ROC,Shooting
Silver Medal,2,00:00.0,KOSTADINOVA Antoaneta,10m Air Pistol Women,Bulgaria,Shooting
Bronze Medal,3,00:00.0,JIANG Ranxin,10m Air Pistol Women,People's Republic of China,Shooting
